filename,T_bath[K],K0 [cm^2/Vs],errK0 [cm^2/Vs]
AMIFOSTINE_1,298.0000,1.4821,0.0147
AMIFOSTINE_2,298.0000,1.5204,0.0157
AMIFOSTINE_3,298.0000,1.5477,0.0159
AMIFOSTINE_4,298.0000,1.5508,0.0158
Aniline_0   ,370.0000,1.8848,0.0138
Benalaxyl_0a,370.0000,1.2032,0.0097
Benalaxyl_0b,370.0000,1.2041,0.0101
Benalaxyl_0c,370.0000,1.2019,0.0101
