filename,T_bath[K],CCS [A**2],errCCS [A**2]
AMIFOSTINE_3_300K_HighField  , 300.00, 138.70, 1.84
AMIFOSTINE_3_350K_HighField  , 350.00, 127.89, 1.64
AMIFOSTINE_3_400K_HighField  , 400.00, 119.55, 1.49
AMIFOSTINE_3_450K_HighField  , 450.00, 112.83, 1.39
AZAMETHIPHOS_1_298K_HighField, 298.00, 158.80, 3.13
