g [m/s],  Q(1) [A**2],  errQ(1) [A**2],  Q(2) [A**2],  errQ(2) [A**2],  Q(3) [A**2],  errQ(3) [A**2] 
2582.8,      62.54,          4.71,          62.14,          3.08,          65.64,          3.78
2610.4,      62.11,          3.61,          62.84,          2.90,          66.16,          3.29
2638.0,      58.31,          4.97,          61.61,          3.61,          62.43,          4.48
2665.5,      60.85,          5.00,          62.85,          4.42,          64.99,          4.33
2693.1,      62.58,          5.41,          62.99,          3.78,          65.38,          5.00
2720.5,      61.13,          4.89,          63.05,          3.87,          65.00,          3.78
2748.1,      61.23,          4.71,          62.37,          3.11,          64.54,          4.54
2775.7,      61.24,          3.17,          63.96,          3.90,          65.33,          3.11
2803.2,      58.65,          2.66,          58.21,          2.94,          61.83,          2.46
2830.8,      60.21,          4.19,          62.53,          3.37,          64.23,          3.58
2858.4,      60.96,          3.72,          60.43,          2.83,          63.60,          2.88
2885.8,      60.98,          3.84,          61.38,          2.94,          63.93,          3.23
2913.4,      58.32,          2.41,          59.40,          1.97,          61.73,          2.52
2941.0,      59.32,          4.39,          60.30,          3.32,          62.82,          3.93
2968.5,      58.93,          4.95,          58.14,          3.14,          61.88,          4.19
