Filename,Mass,Temperature,Cross Section,Standard Deviation
AMIFOSTINE_3.mfj,2.1507E+02,298.000,0.137020E+03,0.794887E+00
AMIFOSTINE_3.mfj,2.1507E+02,400.000,0.120333E+03,0.117308E+01
AMIFOSTINE_3.mfj,2.1507E+02,450.000,0.114623E+03,0.101585E+01
AMIFOSTINE_3.mfj,2.1507E+02,700.000,0.956962E+02,0.125638E+01
